	log2_fold_change	p_value	q_value
1775_gene	-1.28408691511758	0.000897455025218669	0.00765227962706644
1540_gene	-0.874013886514678	0.000898841925505347	0.00765757003971332
3398_gene	-0.73410506732001	0.000900452513796249	0.00766497222205143
8816_gene	1.97094611242371	0.000901255731347576	0.00766549524917354
3564_gene	-0.920159950942382	0.00090447786108317	0.00768657419114596
7721_gene	-0.794725708866177	0.000913108564184691	0.00775354470195941
9975_gene	1.53691290925111	0.000922226522354547	0.00782453931199662
7906_gene	-0.799668870477428	0.00092300108064281	0.00782468676567908
10227_gene	-0.940544481832371	0.000928939467411456	0.00786857414445081
9000_gene	0.805211347972451	0.000931619021334197	0.00788480832634528
951_gene	-0.839573447541221	0.0009337812562631	0.00789664116384851
2181_gene	0.910704843328816	0.00093747596852357	0.00792140364572574
1911_gene	-0.562077458059936	0.000939735633986741	0.00793400983792401
1668_gene	-1.08499590410152	0.00094199565225751	0.00794589991006963
1772_gene	-0.713210896653014	0.000942681758249019	0.00794589991006963
8139_gene	-0.858306885523586	0.000948928838874606	0.00799203799586812
2832_gene	-1.93489265409906	0.00095114169403783	0.00799763894726357
2966_gene	1.28845215386466	0.000950705418727283	0.00799763894726357
7404_gene	-3.87491516051598	0.000955844049594789	0.00803064423456305
3922_gene	-1.08171232036522	0.000958712109771808	0.00804819735368145
574_gene	3.14427640048032	0.000960585171361018	0.00805084116856834
7086_gene	1.52669264438305	0.000960030687140192	0.00805084116856834
5409_gene	-1.51508561554319	0.000962538752709886	0.00806067704254778
3591_gene	-0.918402636545372	0.000966548493471477	0.00808770213079696
9441_gene	2.13207647720676	0.000968964956895682	0.00810136234996762
6535_gene	1.58941940314956	0.000972942315662819	0.0081280403314952
5489_gene	1.3395854789965	0.000979103061437891	0.00817290067600902
497_gene	-0.839219226047481	0.00098048763360205	0.00817785246621758
6771_gene	-1.05904502282483	0.000988944793101926	0.00823509709259895
7190_gene	0.789545440297012	0.000988334190596412	0.00823509709259895
6974_gene	0.748571695252112	0.000994082576521793	0.00827121525424816
9651_gene	1.20478384818014	0.00100249869379892	0.0083345305725809
2665_gene	1.22311686778595	0.0010078814083027	0.0083725453966239
2111_gene	-0.75854514178969	0.00101163936358261	0.00839240596194791
3227_gene	0.662844208835458	0.00101189644170574	0.00839240596194791
8175_gene	-1.05383537051903	0.00102490841297894	0.00849350724917748
7096_gene	0.881977504239213	0.00102710298822216	0.00850487362202548
3370_gene	-0.636856654636191	0.00103056248026942	0.00852668748687281
1161_gene	1.03707158041705	0.00103517458537018	0.00855799533217236
8170_gene	-0.983140050327077	0.00103752418227048	0.00857056346889139
7192_gene	-0.804538358324152	0.00104757151123931	0.00864664856002155
4794_gene	-0.586854805780918	0.00105653910341313	0.00871370717850859
7256_gene	0.789558009633525	0.00105963042518797	0.00873223350390148
10507_gene	3.39233285786521	0.00106211031668589	0.00874569562759524
6129_gene	0.675948464761805	0.00106566591946893	0.00876798695206366
326_gene	-0.967739211023921	0.00108662593807865	0.00893332732227905
4906_gene	-0.925346775294669	0.00108769803094094	0.00893503295051164
142_gene	0.945009622983264	0.00109573908123101	0.00899393778033457
5794_gene	0.675547146660968	0.00109779987874424	0.00900370154519283
5509_gene	-1.24537915000958	0.00110060739292416	0.00901956922956247
4595_gene	5.74838945398056	0.00110417610854946	0.00904164493324096
6062_gene	1.09128818427792	0.00110559585861954	0.00904610261518153
1598_gene	6.35292401819348	0.00111533784961686	0.00911859283064927
7136_gene	0.571318253850346	0.00112366098298555	0.0091793775479626
9927_gene	-0.75955552630561	0.00113098815165278	0.00923193646064754
3262_gene	-0.970090404957279	0.00113256685484489	0.00923752634409396
846_gene	-0.734226255646268	0.00113370898939836	0.00923954944514407
2943_gene	0.693644958916307	0.00113831508952149	0.00925167413927391
3670_gene	1.46501669731529	0.00113877777290076	0.00925167413927391
5701_gene	-0.956556835331776	0.00113640526428762	0.00925167413927391
7323_gene	0.883851455565044	0.00113809725066694	0.00925167413927391
1860_gene	1.89009669259051	0.00114497171572426	0.00928739223727983
4744_gene	-0.936179442009801	0.00114467186065924	0.00928739223727983
9920_gene	-0.923301814627956	0.0011586662141691	0.00939110326056745
9034_gene	-0.941188492575422	0.00116084872249777	0.00940141904254852
10294_gene	0.713360897605909	0.00117023089446243	0.00946998125557926
4740_gene	-0.593194313239888	0.00118846748089346	0.00961003360528406
5062_gene	0.580575502175071	0.00118973557072196	0.00961276574498887
954_gene	0.708065634034915	0.00120036642359244	0.00969108329797205
449_gene	-0.624896357976751	0.00120862155202834	0.00975011328544956
4710_gene	-0.60770297792875	0.00121617081279745	0.00979572032692814
9921_gene	-0.924291387833015	0.0012156993090523	0.00979572032692814
5822_gene	-0.780388135898367	0.00121884772443528	0.00980963581332883
4395_gene	-1.95145401193392	0.00122510347006847	0.00985231070792805
228_gene	0.80663295168571	0.00123483972060409	0.00991523314634584
618_gene	0.848779952232078	0.00123542167936064	0.00991523314634584
9255_gene	-0.777240751820031	0.00123580610533128	0.00991523314634584
361_gene	-0.698802377989945	0.00123892169802265	0.0099248192460202
8338_gene	-1.02728725313731	0.00123846416854832	0.0099248192460202
6128_gene	0.681980538434637	0.00124185775989062	0.00993293969869168
8866_gene	0.841073554659405	0.00124176495371155	0.00993293969869168
1160_gene	1.0189333154412	0.00124439380404986	0.00994552635038765
9461_gene	1.15023493842129	0.00124772447804578	0.00996443953332696
5428_gene	0.859365465077095	0.00125109548364033	0.00998364534975999
4734_gene	2.56172975804901	0.00125571532545728	0.0100127794546879
4351_gene	-0.567006205138067	0.00125833029492416	0.0100149912661647
4475_gene	-0.797322115018856	0.00125701782926587	0.0100149912661647
6151_gene	-1.14939028423703	0.0012589001020658	0.0100149912661647
1980_gene	-0.988799800248972	0.00126101491761138	0.0100163936653313
4545_gene	-1.43421190893189	0.00126069104966325	0.0100163936653313
9253_gene	-1.00967434876538	0.00126520646447993	0.0100419689738368
948_gene	0.685948273380022	0.00126833400316588	0.0100457440113419
2126_gene	1.29712274485264	0.00126951498252309	0.0100457440113419
8629_gene	-0.767569535326919	0.00126942336548634	0.0100457440113419
10416_gene	-0.86864737553403	0.00127038537450098	0.0100457440113419
10480_gene	1.67612980125518	0.00127054261881399	0.0100457440113419
8368_gene	-0.947673767378772	0.00127311318583323	0.0100583728305815
3261_gene	-0.839499542213054	0.00127618079095051	0.0100749062594978
6284_gene	1.0792585111368	0.00127771253933481	0.0100792987644931
6509_gene	-0.700923418024407	0.0012796469276804	0.0100868583910368
6485_gene	-0.685490134395389	0.00130939856440549	0.0103135097290902
7227_gene	-0.832738746894087	0.00131066687436266	0.0103156370751437
8176_gene	-1.01687836046164	0.00131315970364116	0.0103273914592296
1226_gene	0.863110051868465	0.00131752061672214	0.0103400104093898
3009_gene	1.46644226272095	0.00131715455906245	0.0103400104093898
7851_gene	-0.819254209437483	0.00131776598695242	0.0103400104093898
1455_gene	-0.506096710584037	0.00132301185021475	0.0103654317362541
7813_gene	-0.808671535458777	0.00132230084277902	0.0103654317362541
7145_gene	-0.937783665175099	0.00132717650296918	0.0103901833194572
4731_gene	-0.651147013408358	0.00133149235946033	0.0104160802745368
10692_gene	5.68510294278704	0.00133282046413267	0.010418582962441
1773_gene	0.697672632300344	0.00134094558527105	0.010468362674795
4080_gene	0.598626025369112	0.00134121464887059	0.010468362674795
7500_gene	1.18093530209246	0.00134672851827892	0.0105034660436938
342_gene	1.60680797039594	0.00136392226495265	0.0106295419954907
1861_gene	0.850932298903822	0.00136647163718754	0.0106413850027853
1723_gene	-0.966584389536708	0.00136919046294475	0.0106465118465546
10041_gene	2.48072032693279	0.00136843503894149	0.0106465118465546
8474_gene	1.42937557032567	0.00138286105914071	0.0107447264550076
7844_gene	0.894816341147624	0.00138574019407746	0.0107590076375631
5779_gene	-0.973656452690579	0.00138976208559852	0.010782133177609
994_gene	0.752410857678019	0.00140070572236325	0.010858884422282
6746_gene	-0.847329200949365	0.00140420611038054	0.0108778605282402
3251_gene	-1.03295889057157	0.00140717984947798	0.0108927315089928
4589_gene	1.01259385869591	0.00140970444220848	0.0109041060672024
4510_gene	-0.868799661163036	0.00141706458624063	0.0109528387690431
2286_gene	-0.707020335751015	0.00143832521031489	0.0111088585376637
1604_gene	0.726807357157567	0.0014507046804848	0.0111961031875504
4172_gene	-4.06543070362566	0.00146535883458554	0.0112991976322052
7549_gene	1.23200976640499	0.00146624966371078	0.0112991976322052
2318_gene	1.1513068609807	0.00148242045290429	0.0114153002684895
5568_gene	-1.01272643195197	0.00150133294922865	0.0115523266547498
9647_gene	0.86110199865247	0.00150312970926517	0.0115575464401386
8032_gene	-0.732510694262828	0.00150651755562104	0.0115749832117382
1718_gene	1.11320564295013	0.00152874388988112	0.0117283142969796
5317_gene	0.993813229981657	0.00152761319290909	0.0117283142969796
8072_gene	0.637825249090413	0.00153087478703557	0.0117359495914136
3369_gene	0.645282221744909	0.00153275485430345	0.0117416520862653
6008_gene	-0.837104665021113	0.00154127579584242	0.01179818079573
6227_gene	-0.530330658613194	0.00154823356395648	0.0118426688748529
952_gene	-0.851998647141562	0.00155596134880213	0.0118929767592612
5879_gene	0.591369652536345	0.00155960830156222	0.0119120415287095
2301_gene	1.01365289278476	0.00156345241862774	0.0119237766008111
8177_gene	-0.996145622140217	0.00156260283705012	0.0119237766008111
905_gene	0.69887221894864	0.00156573224806663	0.011932357707611
1853_gene	1.22848808494788	0.00157845314237035	0.0120204383001144
438_gene	-0.767677371632316	0.00158234327735564	0.012023481932495
6403_gene	1.04710871641654	0.00158196091942997	0.012023481932495
6543_gene	0.945488428982185	0.00158023088392244	0.012023481932495
7659_gene	0.985340754845183	0.00158516476998848	0.0120360710749897
2910_gene	1.78829591659567	0.00159577861205063	0.01209888200802
10326_gene	-1.05493648771031	0.00159519320102501	0.01209888200802
1632_gene	-0.763525329574148	0.00161511618810927	0.012229080570019
7998_gene	0.788952079124248	0.00161531788059569	0.012229080570019
5887_gene	0.870146545308404	0.00162057782533428	0.0122509518997838
8103_gene	0.975652048062347	0.00162004100271794	0.0122509518997838
386_gene	-0.796394558211732	0.00163116598958525	0.0123219805090453
1568_gene	0.870322805062994	0.00163853515139891	0.0123378961599774
2471_gene	0.721146033598289	0.00163759190658237	0.0123378961599774
4821_gene	0.711553068595118	0.00163824248298027	0.0123378961599774
4871_gene	1.48021332253426	0.00163913302149069	0.0123378961599774
10390_gene	-0.642832153471527	0.0016392424450986	0.0123378961599774
105_gene	-0.95899376202558	0.00165346109165526	0.0124188907584215
1873_gene	1.06938571729807	0.00165360883332572	0.0124188907584215
8841_gene	-0.831221751015656	0.00165124330714018	0.0124188907584215
7875_gene	-1.04426986654164	0.00166507162531619	0.0124958970050962
7364_gene	-0.886211907344231	0.00166795103993748	0.0125084223851334
9229_gene	1.02697499569171	0.00167608793902675	0.0125603283262527
2287_gene	-0.711743486607647	0.00168413363812921	0.0126092804076037
7027_gene	0.80282134267654	0.00168506060024199	0.0126092804076037
3070_gene	-1.18626942731564	0.00168913588713947	0.012612377353829
5404_gene	0.573763775831085	0.00168730932399951	0.012612377353829
3903_gene	5.66100397132383	0.0016887181422998	0.012612377353829
1534_gene	1.34334357225923	0.00169133075844519	0.0126196476951427
5302_gene	-0.572448431785441	0.00169321486569581	0.012624590492136
1332_gene	-0.64136265473104	0.00170509584920941	0.0127040090163879
5980_gene	0.812745851690211	0.0017091818189211	0.0127252773175293
4275_gene	6.51863066996658	0.00174445191617811	0.01297852131158
9597_gene	1.0386374895805	0.00174935975438423	0.0130056717279184
10239_gene	-0.673883224174304	0.00175641306563796	0.0130487222288301
788_gene	-0.943727110748437	0.00176130796100579	0.0130738051799059
10522_gene	-0.580630295407144	0.00176231958734362	0.0130738051799059
1126_gene	1.28074781594633	0.00177080727247283	0.0131179371711357
8947_gene	-5.82968224896254	0.00177058990955109	0.0131179371711357
6498_gene	1.10541590588528	0.0017870021127849	0.0132189547841941
7946_gene	-0.926777515921651	0.00178638913658091	0.0132189547841941
1719_gene	1.07400369218956	0.00178882522047056	0.0132229755567545
298_gene	0.872234232957086	0.00180115714638834	0.0132839664429124
1299_gene	-0.895829876748151	0.00180073480100252	0.0132839664429124
3656_gene	1.01502577872274	0.00180214384188771	0.0132839664429124
7974_gene	-0.82612017483045	0.00180221801364071	0.0132839664429124
2278_gene	-0.579115637030607	0.00181189819742706	0.0133457989823316
4664_gene	-0.917906884877572	0.00181465932804115	0.0133566164501262
4861_gene	-0.924564552799845	0.00181905489057209	0.0133794400278804
2476_gene	-0.741950098681775	0.00182634907350136	0.0134235357934303
3616_gene	0.627120512908508	0.00182790354344149	0.0134254123794772
7442_gene	-0.611342311213475	0.0018328531230201	0.0134522046685297
1250_gene	-0.67567502781349	0.00183494979638859	0.0134580349154575
9969_gene	-1.77908680362729	0.00185456845292716	0.0135922768741484
2852_gene	-1.17798586881605	0.0018581034828833	0.0136085339419674
10254_gene	0.534879238031025	0.00186097967946283	0.0136199461809978
4512_gene	-0.956626350317222	0.00187139056523648	0.0136806689833775
7458_gene	0.56865511591411	0.00187192432189819	0.0136806689833775
7520_gene	0.768626271159728	0.00187878730436076	0.0137211222637909
7924_gene	0.839737939274124	0.00188302758906028	0.0137423778992577
906_gene	2.25268026000495	0.00189307370646178	0.0138059447301171
6166_gene	0.640860944522619	0.00190752879338643	0.0139015532798698
1820_gene	-1.06950685304276	0.00192240743942542	0.0140001116835957
4324_gene	0.947331192877621	0.0019314289482037	0.0140559061624909
2184_gene	0.631210432812706	0.00193536895214418	0.0140746676646432
3563_gene	-0.831572823948227	0.00194118929916441	0.0141070676635478
1380_gene	-0.619177687352366	0.00194528291232755	0.0141268823724476
2478_gene	-0.657856489296902	0.0019482656415454	0.0141286857120913
705_gene	3.06607051600981	0.00194780182110116	0.0141286857120913
7195_gene	-0.678808874242379	0.00196372977527768	0.0142308439675453
4383_gene	1.06834949567074	0.00197563961729849	0.0143071196952786
2535_gene	-0.675236436788192	0.00197784621931379	0.0143130692089556
2935_gene	0.97224241861981	0.00197976953952706	0.0143169618064889
580_gene	-0.998881464303134	0.00198892840473518	0.0143731371570163
6130_gene	0.669310465268606	0.00200279076994426	0.0144632004308902
3512_gene	1.29369193697239	0.00200549822319697	0.0144726387140485
2264_gene	-1.04500106998812	0.00201660460155529	0.0145426322068893
7628_gene	0.599621810832791	0.00202658410092413	0.0146044073214435
1658_gene	-1.20220436259901	0.00203353823684188	0.0146239277240946
5776_gene	-0.818248547518	0.00203352975508623	0.0146239277240946
5852_gene	-1.08713413139719	0.00203228776369475	0.0146239277240946
6833_gene	-1.09703871329074	0.00204755246914053	0.0147144695522241
325_gene	-0.947694692933955	0.00205126719830119	0.0147309209362366
4078_gene	1.31787675876108	0.00205467714140805	0.0147425611524569
6665_gene	-0.884131713023557	0.00205574130256342	0.0147425611524569
2539_gene	-1.24109904960376	0.0020595218732333	0.0147594306782198
10206_gene	2.04980362404736	0.00206365978843699	0.0147788359346555
765_gene	1.07209738307594	0.00207334016672298	0.014837879004789
8363_gene	1.10750703886724	0.00207792594162816	0.014860406007464
9695_gene	-1.05786803473487	0.00208189596080183	0.0148785012855644
8219_gene	0.633884589371864	0.00210760928446987	0.0150518551110654
7925_gene	0.841152981333782	0.00211254711237687	0.0150662952790218
9280_gene	1.25896662712718	0.00211241509405264	0.0150662952790218
1512_gene	-0.861646221246432	0.00214017068286024	0.0152527750597777
9015_gene	-0.952252037620947	0.00215121235226195	0.0153209017562198
6506_gene	-0.682832992194468	0.00215918196306413	0.0153570314992993
6741_gene	1.28089952640559	0.00215925747711262	0.0153570314992993
2873_gene	-0.709253632185338	0.00216770201951844	0.0154064873931937
832_gene	-1.11439807257491	0.00217431674266801	0.0154322728150627
4267_gene	0.592018821827171	0.00217420929556208	0.0154322728150627
4506_gene	-1.30414487892034	0.00218357834909034	0.0154873703908714
5867_gene	-1.91680483760534	0.00219408658571004	0.0155512282419256
2912_gene	1.09782638426281	0.00219777410487139	0.0155666878682255
10563_gene	-0.860897858461482	0.00220773583249171	0.015626535680116
3225_gene	-0.887948729510692	0.00221117658769113	0.0156401771780973
1826_gene	-1.11941745682012	0.00222855274328867	0.0157523009912073
4532_gene	0.931171771238559	0.00223909317136684	0.0158159868987731
2841_gene	0.919791540945406	0.00224963578055137	0.0158796011996023
4209_gene	-0.674398210649636	0.00225837317280458	0.0159257389647484
7967_gene	-0.714668845757826	0.00225925424059621	0.0159257389647484
2258_gene	-0.82013522845726	0.00226225105474374	0.0159359934558431
675_gene	0.803836287534934	0.00226912066074725	0.0159626228101852
8364_gene	1.10714812280885	0.00226785057391819	0.0159626228101852
3888_gene	-1.10729216809483	0.00227147901880194	0.0159683429797954
6569_gene	-0.839719359845337	0.00228028652187556	0.0160193616023535
1251_gene	-0.717672119331189	0.00228227540333739	0.0160224415883754
364_gene	1.44554698684979	0.00228600986454299	0.0160377637068481
1717_gene	1.13700318856236	0.00229400129689521	0.0160829100421405
6377_gene	1.99114472539763	0.00231049953413654	0.0161875947022149
1396_gene	-0.527896193637237	0.00231486522219001	0.0162071932290729
4867_gene	1.19707915924066	0.00232530724373521	0.0162692789822341
7753_gene	1.93994457950037	0.00234001442046593	0.0163611021793606
3785_gene	-0.757790917463174	0.00235011590391758	0.0164206205213551
866_gene	-0.746963356064759	0.00235540329905665	0.0164464443867915
5739_gene	-0.783511654060433	0.00237407172526814	0.0165656024368136
4877_gene	0.66835544678364	0.00237688996697119	0.0165740761934415
5533_gene	-0.994537108257975	0.0023803301396884	0.0165868723287525
113_gene	0.831895132616208	0.00241260019882586	0.0168004113575919
4375_gene	-0.874461652344017	0.00241511739606606	0.0168066149299304
6207_gene	0.642459404335715	0.00242187223493325	0.0168422797279947
2354_gene	0.568278735082149	0.00243003584236575	0.0168763376310535
10459_gene	0.9140529908498	0.00242859024948488	0.0168763376310535
304_gene	-1.55183457581921	0.0024467379980336	0.0169695238064961
7476_gene	4.21899970691512	0.00244585164647381	0.0169695238064961
3695_gene	-1.00124230732534	0.00244997224791836	0.0169805588262833
1849_gene	-0.844625301116144	0.00245273941415372	0.0169883439047349
3377_gene	-0.802975009455756	0.00245469107328105	0.016990473912449
5577_gene	1.20496540354302	0.00245652218503947	0.016991767242435
1812_gene	0.569332393198584	0.0024623594026415	0.0170207505464196
1409_gene	-2.08794547288012	0.00246981751530753	0.0170608918470508
1293_gene	-1.03781638446267	0.00248541223578904	0.0171571476584128
490_gene	-1.99615631637769	0.0025025890989324	0.0172547992800659
2896_gene	-0.899599650910613	0.00250400386705815	0.0172547992800659
3955_gene	-0.65059658511148	0.00250456734276164	0.0172547992800659
9319_gene	-0.911182690365608	0.00250787436421744	0.0172660717387229
5167_gene	1.32892515853822	0.00250977846580769	0.017267676874605
10744_gene	-1.0693163492494	0.00252712431001053	0.017375450844743
5493_gene	-0.48390497379718	0.0025370108474878	0.0174318285225658
2397_gene	-0.595286322029412	0.0025415989004124	0.0174482947174361
6238_gene	0.692571089578606	0.00254278419241908	0.0174482947174361
7923_gene	0.840212949714344	0.00254527679176211	0.0174538091347509
8110_gene	0.65737750015327	0.00255248106913887	0.0174916043557567
8341_gene	-1.1755388026465	0.00257221730300531	0.0176151713779038
6675_gene	-1.57105713413434	0.00261794060936547	0.017916422686876
557_gene	-1.09569323073156	0.00262364262135819	0.017943562441506
2198_gene	1.09336555199927	0.00268465677844507	0.0183487057860128
1005_gene	-0.721122046124524	0.00268986148028632	0.0183721272553066
3505_gene	-0.884549504993906	0.00269849505400792	0.0184067642825861
6972_gene	-1.06070253643279	0.0026975812052084	0.0184067642825861
5813_gene	-0.621548208035865	0.00271218371948561	0.0184879330852007
9908_gene	-0.676512695232119	0.00271940242909529	0.0185249207002444
10132_gene	-1.01073446508093	0.00272277295720245	0.0185356625426417
718_gene	0.677487252239445	0.00273036912595919	0.0185751379510614
4249_gene	-0.874446851195076	0.0027612505296765	0.018772870377419
1448_gene	-0.562128171773935	0.00276625825437524	0.0187945514797592
7218_gene	1.27599592770884	0.00277046186828675	0.0188051912784639
9931_gene	6.00971476700423	0.00277146374270374	0.0188051912784639
9811_gene	-3.6788862165364	0.0027876870324211	0.0189028594442518
10159_gene	0.860112835446096	0.00279185088318987	0.018918680017629
9564_gene	0.67906725775365	0.00282767687516099	0.0191488943826433
9725_gene	1.25013253453441	0.00283389038435605	0.0191658529004813
10118_gene	-0.958314046669334	0.00283229911350618	0.0191658529004813
1344_gene	-0.860909807770123	0.00284683192098735	0.019240785527458
321_gene	0.942218207953198	0.00286740962455283	0.0193671967713261
1457_gene	-0.785168504583709	0.0028700968281018	0.0193726849259334
5450_gene	-0.578371542621401	0.00288609790871426	0.0194650146796051
7289_gene	-0.674225586399805	0.00288754282018914	0.0194650146796051
7872_gene	0.965120279494923	0.00289308052273588	0.0194896311094867
4202_gene	1.13078520672573	0.00289543002380722	0.0194927517042501
4844_gene	1.40100810025333	0.00289957725783543	0.0195079631396298
2781_gene	-0.856542374233275	0.00290571853293784	0.0195365616912034
365_gene	2.45276922406441	0.00291217356688972	0.0195672312355256
2066_gene	0.672382786364319	0.00293449879043024	0.0196916301950039
3224_gene	-0.873277946310033	0.00293331155364522	0.0196916301950039
10485_gene	0.90687574928409	0.00293651852549205	0.0196923961339616
6917_gene	0.552955257333623	0.00294631032183338	0.0197452469946992
6040_gene	-0.752494323260134	0.0029525342095344	0.0197741338440236
9641_gene	1.73021545155308	0.00295823446497267	0.0197994786017018
8212_gene	1.06690581696127	0.0029695687115854	0.019862474476067
5357_gene	1.60148587885627	0.00298161074477959	0.0199172368691353
9558_gene	-2.58344407101026	0.00298102190651072	0.0199172368691353
4023_gene	-0.686146172119232	0.00298809205073931	0.0199218988724774
6580_gene	0.710658634855958	0.00298663086672602	0.0199218988724774
9482_gene	5.71669605357984	0.00298592241061083	0.0199218988724774
6562_gene	1.18542494041258	0.00300190320488916	0.020001075254239
3966_gene	-1.26119173711473	0.00300827167602018	0.0200305924613354
1688_gene	6.53695368617695	0.00301629161695982	0.0200521667100735
6193_gene	-0.636080166793591	0.00301589023628233	0.0200521667100735
8335_gene	1.13985715199073	0.00301733300117712	0.0200521667100735
6568_gene	-0.813284634419075	0.00302214331712157	0.0200712268889038
1866_gene	-0.58024792347214	0.00303053348249229	0.020114022484313
10094_gene	1.08139987456542	0.00303861143395295	0.0201546922711616
979_gene	-1.00120052582752	0.00305138006206102	0.0202264025409484
5453_gene	0.778380058030592	0.00305374573246269	0.0202291079482496
4041_gene	-0.892210881657631	0.00305741785401605	0.0202404587465739
379_gene	-0.838998467719611	0.00306641199814757	0.0202740253287633
9132_gene	-0.667614117852933	0.00306625286332442	0.0202740253287633
1376_gene	0.678867403080873	0.00307050855849633	0.0202881300789649
2103_gene	-0.701935799907253	0.00307325565744764	0.0202917819707491
4315_gene	-0.798712215203823	0.00307498844263529	0.0202917819707491
10762_gene	2.13325006674621	0.003078531679962	0.0203021993495388
6813_gene	-0.871014526908058	0.00308263388110005	0.0203162873260765
5518_gene	1.01083534393804	0.00308950258785064	0.0203485785486606
7896_gene	0.792871569560236	0.00310903069745885	0.0204511287253595
9763_gene	0.784456311127749	0.00310885426002546	0.0204511287253595
645_gene	0.748335985322952	0.0031185363234565	0.0205006071034348
8034_gene	5.67010312183774	0.00313002961177475	0.0205630807425812
4308_gene	0.672377496114935	0.00315257702933923	0.0206980502040607
277_gene	0.87714198770664	0.00315667378198255	0.0207117884844493
9281_gene	1.13602300525695	0.00316867297142017	0.0207773264509239
7922_gene	0.839069968856417	0.00318686252281054	0.0208833464240483
428_gene	1.0507188690668	0.00319196895367774	0.0209012373448462
7536_gene	-0.885783547960309	0.00319363787183203	0.0209012373448462
1563_gene	-0.861778882983476	0.00319660704358275	0.0209074286002431
6678_gene	-0.801518555449122	0.00321220971586751	0.0209961892496995
393_gene	0.895855606351186	0.00321698867250714	0.0210141346028374
4961_gene	-1.31975858629414	0.00323067357087339	0.0210901962611533
5697_gene	-0.570339531128911	0.00323695821319921	0.021117882686364
7134_gene	0.961967089872774	0.00325343838238249	0.0212120077246313
1436_gene	0.887370669588754	0.00325812913066457	0.0212291969963983
1306_gene	-0.714631161387443	0.00326868438606321	0.0212845522656441
6798_gene	-0.648905700853518	0.00327941465985917	0.0213409767600659
8582_gene	1.01445745865067	0.00328365885265886	0.0213551482588903
10723_gene	-0.74912476685002	0.00333168206000283	0.0216538379924964
6361_gene	0.627804401655768	0.00335499389112901	0.0217916447963088
2762_gene	1.02322061701432	0.00335911646933272	0.0218047170817113
10290_gene	0.972727716596295	0.00337099794843958	0.0218681059630726
7348_gene	0.752251789079206	0.00340594198736751	0.0220809313032972
1619_gene	0.561154447681887	0.00343292713926375	0.0222419241737628
1426_gene	0.608960410447251	0.00344689103376476	0.0223044282673294
3634_gene	-1.00195107160834	0.00344615960399651	0.0223044282673294
7587_gene	0.927153889188454	0.00346638714942246	0.0224165486871913
10443_gene	0.831676529589431	0.00348177344291617	0.0225019679544063
9978_gene	-1.48878654242865	0.00349377197157739	0.0225653997214255
2166_gene	0.689372846246171	0.00350418073287831	0.0226039864802473
3624_gene	0.897462209116622	0.00350630833441421	0.0226039864802473
8886_gene	0.925832549089294	0.00350229768782739	0.0226039864802473
8147_gene	-0.660638805542484	0.00351181049790258	0.0226253426965868
1268_gene	0.574682762491248	0.00352766249832814	0.02265684540567
1572_gene	-1.03700588442977	0.00352182128553951	0.02265684540567
2618_gene	-1.0208757297537	0.00352621169060143	0.02265684540567
3518_gene	-0.699801851722856	0.00351897034350985	0.02265684540567
5870_gene	-0.885383596264782	0.00352574846153918	0.02265684540567
5636_gene	-1.12719224163016	0.00353282113500184	0.0226758842292603
3331_gene	-0.662426468520943	0.00354187024580758	0.0226921353216419
5999_gene	-0.724758013950811	0.00354194061097429	0.0226921353216419
8558_gene	1.70244675790901	0.00353818900418283	0.0226921353216419
6640_gene	-1.00378063579157	0.00355691913709188	0.0227739791590505
9430_gene	-1.12471908681355	0.00357031918749313	0.0228456213520458
7881_gene	1.34587288310495	0.00357311372180121	0.0228493547036471
869_gene	0.67619675716907	0.00358188825379742	0.022877152790323
10733_gene	-0.738051830838238	0.00358014317735919	0.022877152790323
3847_gene	-1.57737593981061	0.00359632998575793	0.0229552032568391
10605_gene	-1.02289239376017	0.00360642114009389	0.0230054049763767
2167_gene	0.671738358636145	0.00361804097147889	0.0230652901907852
3158_gene	0.767357356750544	0.00362362661135097	0.0230866568444519
3988_gene	0.704752844879983	0.00363128720598347	0.0231212088642226
5293_gene	-0.602313823633027	0.00364784401733591	0.0231980431231688
5984_gene	-0.782778802540839	0.00364584239127325	0.0231980431231688
3054_gene	0.835767955341142	0.00369115735800331	0.0234158502993285
3154_gene	-0.870307076190787	0.00368893071480175	0.0234158502993285
6110_gene	-0.838260788251405	0.00369072539298264	0.0234158502993285
6341_gene	-0.824932274919253	0.00368560098385274	0.0234158502993285
7191_gene	-1.00684689650226	0.00370770114168222	0.0235063703056099
10114_gene	-0.885878046936727	0.00373937126057538	0.0236926196240257
9585_gene	-1.4943153582086	0.00379301492349449	0.0240177795461961
8522_gene	0.671406755003514	0.00380921669354919	0.0240908478036336
9049_gene	-1.21002589412371	0.0038083410238233	0.0240908478036336
1562_gene	-0.863702787668285	0.00381650028949025	0.0241198884239753
2375_gene	-1.09320916383913	0.00381847662682635	0.0241198884239753
4835_gene	-2.5394605184494	0.00383539332762326	0.0241971640095597
4808_gene	6.41486612575658	0.00383358374150012	0.0241971640095597
7668_gene	1.04495790501015	0.00383914124008138	0.0242023263085628
10237_gene	-0.705442084392697	0.00384089560151375	0.0242023263085628
8449_gene	1.58794835191853	0.0038640173097572	0.0243331839604089
5821_gene	0.780169461310005	0.00386787416042867	0.0243426379865224
7466_gene	0.686980714702692	0.00387103563505752	0.0243477067880003
